target_id	length	eff_length	est_counts	tpm
cgd2_190-RA	411	137	0	0
cgd2_1900-RA	1008	734	0	0
cgd2_1910-RA	1605	1331	3	29.6609
cgd2_1920-RA	3423	3149	0	0
cgd2_1930-RA	498	224	0	0
cgd2_1940-RA	660	386	0	0
cgd2_1950-RA	1980	1706	0	0
cgd2_1960-RA	2133	1859	0	0
cgd2_1970-RA	2889	2615	0	0
cgd2_1980-RA	1113	839	0	0
cgd2_1990-RA	702	428	0	0
cgd2_20-RA	2049	1775	4	29.6554
cgd2_200-RA	972	698	8.08359	152.402
cgd2_2000-RA	997	723	1	18.2013
cgd2_2010-RA	804	530	1	24.8294
cgd2_2020-RA	618	344	0	0
cgd2_2030-RA	631	357	0	0
cgd2_2040-RA	1221	947	0	0
cgd2_2050-RA	867	593	1	22.1915
cgd2_2060-RA	2130	1856	0	0
cgd2_2070-RA	1578	1304	1	10.0917
cgd2_2080-RA	1046	772	0	0
cgd2_2090-RA	3259	2985	0	0
cgd2_210-RA	1741	1467	2	17.9408
cgd2_2100-RA	645	371	0	0
cgd2_2110-RA	567	293	0	0
cgd2_2120-RA	297	34.6815	2	758.88
cgd2_2130-RA	4281	4007	1	3.28414
cgd2_2140-RA	5457	5183	0	0
cgd2_2150-RA	408	134.001	0	0
cgd2_2160-RA	2880	2606	0	0
cgd2_2170-RA	1689	1415	0	0
cgd2_2180-RA	351	77.4659	0	0
cgd2_2190-RA	1242	968	0	0
cgd2_220-RA	1724	1450	0	0
cgd2_2200-RA	306	40.0835	1	328.304
cgd2_2210-RA	1212	938	0	0
cgd2_2220-RA	855	581	0	0
cgd2_2230-RA	2502	2228	0	0
cgd2_2240-RA	1386	1112	0	0
cgd2_2250-RA	495	221	0	0
cgd2_2260-RA	2034	1760	0	0
cgd2_2270-RA	1038	764	0	0
cgd2_2280-RA	1680	1406	0	0
cgd2_2290-RA	924	650	0	0
cgd2_230-RA	5048	4774	0	0
cgd2_2300-RA	1464	1190	0	0
cgd2_2310-RA	1635	1361	0	0
cgd2_2320-RA	5061	4787	0	0
cgd2_2330-RA	507	233	0	0
cgd2_2340-RA	4959	4685	0	0
cgd2_2350-RA	1716	1442	0	0
cgd2_2360-RA	5907	5633	0	0
cgd2_2370-RA	405	131.001	0	0
cgd2_2380-RA	966	692	0	0
cgd2_2390-RA	1011	737	0	0
cgd2_240-RA	867	593	0	0
cgd2_2400-RA	3876	3602	1	3.6534
cgd2_2410-RA	468	194	0	0
cgd2_2420-RA	1446	1172	0	0
cgd2_2430-RA	957	683	1	19.2673
cgd2_2440-RA	393	119.005	0	0
cgd2_2450-RA	504	230	0	0
cgd2_2460-RA	586	312	0	0
cgd2_2470-RA	705	431	0	0
cgd2_2480-RA	1419	1145	1	11.4931
cgd2_2490-RA	885	611	0	0
cgd2_250-RA	393	119.005	0	0
cgd2_2500-RA	1695	1421	0	0
cgd2_2510-RA	2295	2021	0	0
cgd2_2520-RA	832	558	0	0
cgd2_2523-RA	751	477	0	0
cgd2_2530-RA	1029	755	0	0
cgd2_2533-RA	408	134.001	0	0
cgd2_2540-RA	327	55.6961	0	0
cgd2_2550-RA	5610	5336	0	0
cgd2_2560-RA	2976	2702	0	0
cgd2_2570-RA	799	525	1	25.0658
cgd2_2580-RA	6960	6686	0	0
cgd2_2590-RA	384	110.015	0	0
cgd2_260-RA	1037	763	0	0
cgd2_2600-RA	1394	1120	0	0
cgd2_2610-RA	7839	7565	0	0
cgd2_2620-RA	1800	1526	0	0
cgd2_2630-RA	1971	1697	0	0
cgd2_2640-RA	558	284	0	0
cgd2_2650-RA	1257	983	0	0
cgd2_2660-RA	1293	1019	0	0
cgd2_2670-RA	1245	971	0	0
cgd2_2680-RA	4305	4031	0	0
cgd2_2690-RA	618	344	0	0
cgd2_270-RA	2081	1807	0	0
cgd2_2700-RA	1488	1214	5	54.1992
cgd2_2710-RA	1653	1379	0	0
cgd2_2720-RA	3012	2738	0	0
cgd2_2730-RA	3489	3215	1	4.09318
cgd2_2740-RA	1620	1346	0	0
cgd2_2750-RA	4050	3776	0	0
cgd2_2760-RA	2273	1999	0	0
cgd2_2770-RA	6555	6281	0	0
cgd2_2780-RA	1122	848	0	0
cgd2_2790-RA	1099	825	0	0
cgd2_280-RA	618	344	2	76.5091
cgd2_2800-RA	843	569	0	0
cgd2_2810-RA	693	419	0	0
cgd2_2820-RA	457	183	0	0
cgd2_2830-RA	921	647	0	0
cgd2_2840-RA	3333	3059	0	0
cgd2_2850-RA	555	281	0	0
cgd2_2860-RA	570	296	0	0
cgd2_2870-RA	207	10.8985	0	0
cgd2_2880-RA	1122	848	0	0
cgd2_2890-RA	897	623	0	0
cgd2_290-RA	1486	1212	0	0
cgd2_2900-RA	516	242	0	0
cgd2_2910-RA	3669	3395	0	0
cgd2_2920-RA	1103	829	0	0
cgd2_2930-RA	1649	1375	0	0
cgd2_2940-RA	4955	4681	0	0
cgd2_2950-RA	6889	6615	0	0
cgd2_2960-RA	1578	1304	0	0
cgd2_2970-RA	537	263	0	0
